title,selectable
Clean Air Act 1993 section 24,TRUE
Public Health Act 1936 section 75,TRUE
Opencast Coal Act 1958 sub-section 11(1),FALSE
Town and Country Planning Act 1971 sub-section 158,FALSE
Housing Act 1985 section 210,TRUE
Anti-Social Behaviour Act 2003 section 69,TRUE
Housing Act 1985 part IX section 266,TRUE
Town and Country Planning Act 1990 (section N/K),TRUE
Public Health Act 1936 section 291(1),TRUE
Water Industry Act 1991 section 66,TRUE
Land Compensation Act 1973,TRUE
National Parks and Access to the Countryside Act 1949 part III,TRUE
Local Government and Housing Act 1989 sub-section 121,FALSE
Planning Act 2008 section 170(5),TRUE
Town and Country Planning Act 1990 section 178(1)(b),TRUE
Town and Country Planning Act 1954 sub-section 57,FALSE
Ancient Monuments and Archaeological Areas Act 1979 section 2(3),TRUE
Town and Country Planning Act 1990 schedule 9,TRUE
New Towns Act 1946,TRUE
Highways Act 1980 section 184,TRUE
Highways Act 1980 section 178,TRUE
National Parks and Access to the Countryside Act 1949 section 21,TRUE
Public Health Act 1961,TRUE
Housing Act 2004 section 102 AND section 107(9),TRUE
Housing Act 1985 section 157(2),TRUE
Housing Act 1980,TRUE
Public Health Act 1936 section 65(3),TRUE
Highways Act 1980 section 167,TRUE
Public Health (Drainage of Trade Premises) Act 1937 section 7,TRUE
Water Resources Act 1991 section 95,TRUE
Cardiff Bay Barrage Act 1993,TRUE
Local Government and Housing Act 1989 sub-section 122,FALSE
Planning Act 2008 section 281(5),TRUE
Highways Act 1980 section 74,TRUE
Housing Act 1985 sub-section 264,FALSE
National Parks and Access to the Countryside Act 1949 section 65,TRUE
Public Health Act 1936 section 138,TRUE
Building Act 1984 section 78,TRUE
Highways Act 1980 section 146,TRUE
Clean Air Act 1968,TRUE
New Roads and Street Works Act 1991 section 87,TRUE
Highways Act 1980 section 224,TRUE
Highways Act 1980 section 87,TRUE
Civil Aviation Act 1982 section 43,TRUE
"Environmental Permitting (England and Wales) Regulations 2010, regulation 15",FALSE
"Flood and Water Management Act 2010, schedule 1 (Effect of Designation), paragraph 5(1)",FALSE
Compulsory Purchase (Vesting Declarations) Act 1981 section 3A(4),TRUE
Town and Country Planning Act 1990 section 207,TRUE
Children and Young Persons Act 1993 section 12C(5),TRUE
City of London (Various Powers) Act 1960 section 33,TRUE
City of London (Various Powers) Act 1967 section 6,TRUE
Civil Aviation Act 1982 section 55,TRUE
"Conservation (Natural Habitats, &c) Regulations 1994 regulation 22 paragraph 4",TRUE
Conservation of Habitats and Species Regulations 2010 regulation 35(4),TRUE
"Conservation of Habitats and Species Regulations 2010, regulation 25 paragraph 4",TRUE
Conservation of Habitats and Species Regulations 2017 regulation 17(4),TRUE
Conservation of Habitats and Species Regulations 2017 regulation 27(4),TRUE
Countryside and Rights of Way Act 2000 schedule 9 paragraph 28(9),TRUE
Criminal Justice and Immigration Act 2008 section 143,TRUE
Gas Act 1965 section 11(3),TRUE
Greater London Council (General Powers) Act 1973 section 24,TRUE
Greater London Council (General Powers) Act 1974 section 16,TRUE
Greater London Council (General Powers) Act 1986,TRUE
Harbours Act 1964 schedule 3 paragraph 24(2F),TRUE
High Speed Rail (London—West Midlands) Act 2017 section 51,TRUE
High Speed Rail (London—West Midlands) Act 2017 schedule 14,TRUE
Housing Act 1985 section 37,TRUE
Housing Act 1985 section 239,TRUE
Housing Act 2004 section 37,TRUE
Housing Act 2004 section 74,TRUE
Housing Act 2004 Schedule 7 paragraph 23(9),TRUE
London County Council (General Powers) Act 1962 section 23(10),TRUE
Mission and Pastoral Measure 2011 section 78,TRUE
Pipe-lines Act 1962 schedule 2 paragraph 7(6),TRUE
Thames Barrier and Flood Prevention Act 1972 section 68(6),TRUE
Compulsory Purchase(Vesting Declarations) Act 1981 section 3A(4),TRUE
Space Industry Act 2018 section 45,TRUE
Ecclesiastical Jurisdiction and Care of Churches Measure 2018 No. 3 section 92,TRUE
Local Government (Miscellaneous Provisions) Act 1982 section 29,TRUE
Wildlife and Countryside Act 1981 section 28C(6),TRUE
Water Industry Act 1991 Part 3 section 82(5),TRUE
Anglian Water Authority Act 1977 section 30,TRUE
Housing Act 1985 part IX section 294,TRUE
Housing Act 2004 section 11,TRUE
Housing Act 2004 section 12,TRUE
Housing Act 2004 section 20,TRUE
Housing Act 2004 section 21,TRUE
Local Government and Housing Act 1989 section 119,TRUE
Local Government and Housing Act 1989 section 121,TRUE
Local Government and Housing Act 1989 section 122,TRUE
Local Government and Housing Act 1989 section 123,TRUE
Opencast Coal Act 1958 section 11(1),TRUE
Opencast Coal Act 1958 section 16(6),TRUE
Public Health Act 1875 section 23,TRUE
Public Health Act 1875 section 24,TRUE
Public Health Act 1875 section 26,TRUE
Town and Country Planning Act 1954 section 28,TRUE
Town and Country Planning Act 1954 section 57,TRUE
Town and Country Planning Act 1971 section 158,TRUE
Town and Country Planning Act 1971 section 159,TRUE
Conservation of Habitats and Species regulations 2010 regulation 13,TRUE
Crossrail Act 2008 section 47(10),TRUE
Environmental Permitting (England and Wales) regulations 2010 regulation 15,TRUE
Flood and Water Management Act 2010 schedule 1 paragraph 5(1),TRUE
Housing Act 2004 schedule 7 section 132 paragraph 10(9),TRUE
Housing Act 2004 schedule 7 section 132 paragraph 2,TRUE
Leasehold Reform Housing and Urban Development Act 1993 section 70,TRUE
Thames Water Utilities Limited (Thames Tidway Tunnel) Order 2014 section 52(8),TRUE
Town and Country Planning (Control of Advertisements) (England) regulations 1960 regulation 23,TRUE
Community Infrastructure Levy regulations 2010 regulation 66(1),TRUE
Caravan Sites and Control of Development Act 1960 section 9I(3),TRUE
Wildlife and Countryside Act 1981 section 28(9),TRUE
Thames Water Utilities Limited (Thames Tideway Tunnel) Order 2014 section 52(8),TRUE
London Building Acts (Amendment) Act 1939 section 70(2)(a),TRUE
